JP07a,JP08a,Month,JP07a_GL03_03,JP07a_GL03_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,Debit_Amount,JP02j_BS09_01,JP02j_BS09_02,GE05kw_01,JP05a_01,JP05a_02,BS04fb_01,BS04fb_02,JP06f_GE24_01,JP06f_GE24_02,Credit_Amount,JP02k_BS09_01,JP02k_BS09_02,GE05kB_01,JP05b_01,JP05b_02,BS04fc_01,BS04fc_02,Source_Row,Entry_Key,Debit_Occurrence,Credit_Occurrence,Semantic_Path,Binding_Path
RB001,1,2021-02,2021-02-10,REF-BF-AR-001,Reference-before customer invoice,1200,Demo Accounts Receivable,600000,,,,C001,Demo Customer Aurora,,,,,0,,,,,,,,REF-RB001,"[""20210210"",""REF-BF-AR-001""]",1-D,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,"{""detail"":""1-D""}"
RB001,2,2021-02,2021-02-10,REF-BF-AR-001,Reference-before customer invoice,,,0,,,,,,,,4000,Demo Product Sales,600000,,,,,,,,REF-RB001,"[""20210210"",""REF-BF-AR-001""]",,2-C,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,"{""detail"":""2-C""}"
RB002,1,2021-02,2021-02-15,REF-BF-AP-001,Reference-before vendor invoice,6000,Demo Salaries,1200000,,,,,,,,,,0,,,,,,,,REF-RB002,"[""20210215"",""REF-BF-AP-001""]",1-D,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,"{""detail"":""1-D""}"
RB002,2,2021-02,2021-02-15,REF-BF-AP-001,Reference-before vendor invoice,,,0,,,,,,,,2000,Demo Accounts Payable,1200000,,,,V001,Demo Vendor Keystone,,,REF-RB002,"[""20210215"",""REF-BF-AP-001""]",,2-C,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,"{""detail"":""2-C""}"
RB003,1,2021-03,2021-03-05,REF-BF-AR-SET-001,Reference-before customer receipt,1120,Demo Harbor Ordinary Deposit,100000,,,,,,,,,,0,,,,,,,,REF-RB003,"[""20210305"",""REF-BF-AR-SET-001""]",1-D,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,"{""detail"":""1-D""}"
RB003,2,2021-03,2021-03-05,REF-BF-AR-SET-001,Reference-before customer receipt,,,0,,,,,,,,1200,Demo Accounts Receivable,100000,,,,C001,Demo Customer Aurora,,,REF-RB003,"[""20210305"",""REF-BF-AR-SET-001""]",,2-C,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,"{""detail"":""2-C""}"
RB004,1,2021-03,2021-03-08,REF-BF-AP-SET-001,Reference-before vendor payment,2000,Demo Accounts Payable,200000,,,,V001,Demo Vendor Keystone,,,,,0,,,,,,,,REF-RB004,"[""20210308"",""REF-BF-AP-SET-001""]",1-D,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,"{""detail"":""1-D""}"
RB004,2,2021-03,2021-03-08,REF-BF-AP-SET-001,Reference-before vendor payment,,,0,,,,,,,,1120,Demo Harbor Ordinary Deposit,200000,,,,,,,,REF-RB004,"[""20210308"",""REF-BF-AP-SET-001""]",,2-C,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,"{""detail"":""2-C""}"
RB005,1,2021-03,2021-03-15,REF-BF-AR-002,Reference-before customer invoice,1200,Demo Accounts Receivable,1000000,,,,C001,Demo Customer Aurora,,,,,0,,,,,,,,REF-RB005,"[""20210315"",""REF-BF-AR-002""]",1-D,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,"{""detail"":""1-D""}"
RB005,2,2021-03,2021-03-15,REF-BF-AR-002,Reference-before customer invoice,,,0,,,,,,,,4000,Demo Product Sales,1000000,,,,,,,,REF-RB005,"[""20210315"",""REF-BF-AR-002""]",,2-C,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,"{""detail"":""2-C""}"
RB006,1,2021-03,2021-03-20,REF-BF-AP-002,Reference-before vendor invoice,6000,Demo Salaries,2423720,,,,,,,,,,0,,,,,,,,REF-RB006,"[""20210320"",""REF-BF-AP-002""]",1-D,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,"{""detail"":""1-D""}"
RB006,2,2021-03,2021-03-20,REF-BF-AP-002,Reference-before vendor invoice,,,0,,,,,,,,2000,Demo Accounts Payable,2423720,,,,V001,Demo Vendor Keystone,,,REF-RB006,"[""20210320"",""REF-BF-AP-002""]",,2-C,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,"{""detail"":""2-C""}"
1,1,2021-04,2021-04-02,900050,Synthetic demo credit sale 900050,,,0,,,0,,,,,4020,Demo Other Operating Revenue,427020,B5,B5,38820,C001,Demo Customer Aurora,D01,Demo Sales,1,"[""20210402"",""900050""]",,1-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""1-C"",""d_cor_entryHeader"":""[\""20210402\"",\""900050\""]""}"
1,2,2021-04,2021-04-02,900050,Synthetic demo credit sale 900050,1200,Demo Accounts Receivable,427020,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,,,0,,,0,,,,,1,"[""20210402"",""900050""]",1-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""1-D"",""d_cor_entryHeader"":""[\""20210402\"",\""900050\""]""}"
2,1,2021-04,2021-04-03,900001,Synthetic demo credit sale 900001,,,0,,,0,,,,,4010,Demo Service Revenue,355310,B5,B5,32301,C004,Demo Customer Dawn,D01,Demo Sales,2,"[""20210403"",""900001""]",,2-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""2-C"",""d_cor_entryHeader"":""[\""20210403\"",\""900001\""]""}"
2,2,2021-04,2021-04-03,900001,Synthetic demo credit sale 900001,1200,Demo Accounts Receivable,355310,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,,,0,,,0,,,,,2,"[""20210403"",""900001""]",2-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""2-D"",""d_cor_entryHeader"":""[\""20210403\"",\""900001\""]""}"
3,1,2021-04,2021-04-03,900012,Synthetic demo credit sale 900012,,,0,,,0,,,,,4000,Demo Product Sales,555650,B5,B5,50514,C007,Demo Customer Grove,D01,Demo Sales,3,"[""20210403"",""900012""]",,3-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""3-C"",""d_cor_entryHeader"":""[\""20210403\"",\""900012\""]""}"
3,2,2021-04,2021-04-03,900012,Synthetic demo credit sale 900012,1200,Demo Accounts Receivable,555650,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,,,0,,,0,,,,,3,"[""20210403"",""900012""]",3-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""3-D"",""d_cor_entryHeader"":""[\""20210403\"",\""900012\""]""}"
4,1,2021-04,2021-04-04,900017,Synthetic demo vendor settlement 900017,,,0,,,0,,,,,1120,Demo Harbor Ordinary Deposit,336970,00,00,0,B003,Harbor Demo Bank,D04,Demo Logistics,4,"[""20210404"",""900017""]",,4-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""4-C"",""d_cor_entryHeader"":""[\""20210404\"",\""900017\""]""}"
4,2,2021-04,2021-04-04,900017,Synthetic demo vendor settlement 900017,2000,Demo Accounts Payable,336970,00,00,0,V001,Demo Vendor Keystone,D04,Demo Logistics,,,0,,,0,,,,,4,"[""20210404"",""900017""]",4-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""4-D"",""d_cor_entryHeader"":""[\""20210404\"",\""900017\""]""}"
5,1,2021-04,2021-04-06,900006,Synthetic demo purchase on account 900006,,,0,,,0,,,,,2000,Demo Accounts Payable,367850,00,00,0,V001,Demo Vendor Keystone,D04,Demo Logistics,5,"[""20210406"",""900006""]",,5-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""5-C"",""d_cor_entryHeader"":""[\""20210406\"",\""900006\""]""}"
5,2,2021-04,2021-04-06,900006,Synthetic demo purchase on account 900006,5000,Demo Purchases,367850,Q5,Q5,33441,V001,Demo Vendor Keystone,D04,Demo Logistics,,,0,,,0,,,,,5,"[""20210406"",""900006""]",5-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""5-D"",""d_cor_entryHeader"":""[\""20210406\"",\""900006\""]""}"
6,1,2021-04,2021-04-06,900010,Synthetic demo credit sale 900010,,,0,,,0,,,,,4010,Demo Service Revenue,228470,B5,B5,20770,C001,Demo Customer Aurora,D01,Demo Sales,6,"[""20210406"",""900010""]",,6-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""6-C"",""d_cor_entryHeader"":""[\""20210406\"",\""900010\""]""}"
6,2,2021-04,2021-04-06,900010,Synthetic demo credit sale 900010,1200,Demo Accounts Receivable,228470,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,,,0,,,0,,,,,6,"[""20210406"",""900010""]",6-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""6-D"",""d_cor_entryHeader"":""[\""20210406\"",\""900010\""]""}"
7,1,2021-04,2021-04-06,900024,Synthetic demo monthly payroll bundle 900024,,,0,,,0,,,,,1100,Demo Central Ordinary Deposit,686450,00,00,0,B001,Demo Central Bank,D02,Demo Administration,7,"[""20210406"",""900024""]",,7-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""7-C"",""d_cor_entryHeader"":""[\""20210406\"",\""900024\""]""}"
7,2,2021-04,2021-04-06,900024,Synthetic demo monthly payroll bundle 900024,6000,Demo Salaries,260850,00,00,0,,,D02,Demo Administration,,,0,,,0,,,,,7,"[""20210406"",""900024""]",7-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""7-D"",""d_cor_entryHeader"":""[\""20210406\"",\""900024\""]""}"
7,3,2021-04,2021-04-06,900024,Synthetic demo monthly payroll bundle 900024,6010,Demo Statutory Welfare,253980,00,00,0,,,D02,Demo Administration,,,0,,,0,,,,,8,"[""20210406"",""900024""]",8-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""8-D"",""d_cor_entryHeader"":""[\""20210406\"",\""900024\""]""}"
